"Level","Shloka Name","Type","Question","Options","Correct Answer"
"Level 1","Rama Skandham","audio_fill","Say the missing part of ""Rama Skandham"":","",""
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","When should we chant ""Buddhir Balam (Hanuman Shloka)""?","For strength and intelligence; Complete surrender to God; Before bathing; Beginning of any task","For strength and intelligence"
"Level 1","Brahmarpanam","multiple_choice","What life lesson does ""Brahmarpanam"" teach?","Light within removes negativity; Transforms the mundane act of eating into a sacred offering; True spirituality includes wishing well for everyone; Teachers are divine guides","Transforms the mundane act of eating into a sacred offering"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","What makes ""Sarve Bhavantu Sukhinah"" special compared to other prayers?","It wishes happiness for ALL beings, not just self or family; It is the longest shloka; It was written by Valmiki; It can only be chanted at temples","It wishes happiness for ALL beings, not just self or family"
"Level 1","Guru Brahma","multiple_choice","What quality is celebrated in ""Guru Brahma""?","Abundance and nourishment; Universal compassion; Supreme wisdom of the teacher; Protective power","Supreme wisdom of the teacher"
"Level 1","Annapurna Shloka","multiple_choice","What does ""Annapurna Shloka"" teach us about?","Sound as cosmic vibration; Annapurna means 'full of food' - the goddess who provides...; Rivers as purifying forces; Food as sacred offering","Annapurna means 'full of food' - the goddess who provides..."
"Level 1","Papoham (Surrender Prayer)","multiple_choice","What is the main message of ""Papoham (Surrender Prayer)""?","Seeking blessings from Divine Mother; Gratitude for sacred rivers; Complete surrender and seeking refuge; Power of chanting God's name","Complete surrender and seeking refuge"
"Level 1","Guru Brahma","multiple_choice","What does ""Guru Brahma"" teach us about?","Sound as cosmic vibration; Food as sacred offering; Guru creates knowledge, preserves it, and destroys ignora...; Light dispelling darkness of ignorance","Guru creates knowledge, preserves it, and destroys ignora..."
"Level 1","Guru Brahma","audio_fill","Say the missing part of ""Guru Brahma"":","",""
"Level 1","Karagre Vasate","multiple_choice","True or False: ""Karagre Vasate"" is chanted daily chanting.","True; False","False"
"Level 1","Sarve Bhavantu Sukhinah","multiple_choice","True or False: ""Sarve Bhavantu Sukhinah"" is chanted before bathing.","True; False","False"
"Level 1","Shubham Karoti","multiple_choice","When should we chant ""Shubham Karoti""?","Lighting the lamp; Bedtime; Devi worship / Navaratri; Morning - upon waking","Lighting the lamp"
"Level 1","Shubham Karoti","multiple_choice","What is the deeper meaning of ""Shubham Karoti""?","God as the digestive fire; Power of light over darkness and negativity; Peace and learning together; Gaining blessings from Hanuman","Power of light over darkness and negativity"
"Level 1","Shubham Karoti","multiple_choice","True or False: ""Shubham Karoti"" is chanted honoring teachers / guru purnima.","True; False","False"
"Level 1","Asato Ma Sadgamaya","multiple_choice","What is the deeper meaning of ""Asato Ma Sadgamaya""?","Journey from ignorance to enlightenment; Divine presence in our hands for action; Meditating on Vishnu's form; Power of chanting God's name","Journey from ignorance to enlightenment"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","What quality is celebrated in ""Shantakaram (Vishnu Dhyana)""?","Nurturing nature of Mother Earth; All-fulfilling divine nature; Universal compassion; Peaceful and protective nature of Vishnu","Peaceful and protective nature of Vishnu"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","When should we chant ""Shantakaram (Vishnu Dhyana)""?","Prayer for forgiveness / Complete surrender; Complete surrender to God; Vishnu worship / Meditation; Morning - upon waking","Vishnu worship / Meditation"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","""Shanti Mantra (Sahana Vavatu)"" comes from which scripture?","Taittiriya, Katha, Mandukya Upanishads; Bhagavad Gita (4.24); Brihadaranyaka Upanishad (1.3.28); Vishnu Sahasranama (Phala Shruti)","Taittiriya, Katha, Mandukya Upanishads"
"Level 1","Annapurna Shloka","multiple_choice","Which of these is mentioned in ""Annapurna Shloka""?","food; money; moon; peace","food"
"Level 1","Brahmarpanam","multiple_choice","Which deity do we pray to in ""Brahmarpanam""?","Lakshmi; Saraswati; Brahman (Supreme Reality); Krishna","Brahman (Supreme Reality)"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","What blessing do we ask for in ""Devi Shloka (Sarvamangala)""?","Removal of obstacles and success in all endeavors; Healthy digestion; Removal of past sins; Fulfillment of all wishes and purposes","Fulfillment of all wishes and purposes"
"Level 1","Brahmarpanam","multiple_choice","When should we chant ""Brahmarpanam""?","Circumambulation (Pradakshina); Beginning of study; Before eating; Morning - before stepping on ground","Before eating"
"Level 1","Guru Brahma","multiple_choice","Which deity do we pray to in ""Guru Brahma""?","Guru (Teacher); Brahman (Supreme Reality); Ganesha; Lakshmi","Guru (Teacher)"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","True or False: ""Shantakaram (Vishnu Dhyana)"" is chanted beginning of study.","True; False","False"
"Level 1","Shantakaram (Vishnu Dhyana)","multiple_choice","What blessing do we ask for in ""Shantakaram (Vishnu Dhyana)""?","Removes fear of worldly existence (bhava-bhaya); Knowledge and detachment; Freedom from worldly fears; Purity through sacred waters","Removes fear of worldly existence (bhava-bhaya)"
"Level 1","Asato Ma Sadgamaya","multiple_choice","""Asato Ma Sadgamaya"" comes from which scripture?","Mudgala Purana; Yajur Veda; Brihadaranyaka Upanishad (1.3.28); Taittiriya, Katha, Mandukya Upanishads","Brihadaranyaka Upanishad (1.3.28)"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","True or False: ""Papoham (Surrender Prayer)"" is chanted prayer for forgiveness / complete surrender.","True; False","True"
"Level 1","Guru Brahma","multiple_choice","What is the deeper meaning of ""Guru Brahma""?","Gratitude for food; Respecting teachers as divine; Power of chanting God's name; Gratitude for sacred rivers","Respecting teachers as divine"
"Level 1","Shubham Karoti","multiple_choice","Which of these facts about ""Shubham Karoti"" is true?","Recited during Deepavali; Shiva is said to constantly chant Rama; Very popular in Maharashtra during Ganesh Chaturthi; Recited during Deepavali and daily lamp lighting","Recited during Deepavali and daily lamp lighting"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","Which of these facts about ""Shanti Mantra (Sahana Vavatu)"" is true?","Very popular in Maharashtra during Ganesh Chaturthi; Also called Karadarshanam - looking at hands; Often chanted at the start of yoga classes; Annapurna temple in Varanasi is very famous","Often chanted at the start of yoga classes"
"Level 1","Vakratunda Mahakaya","multiple_choice","True or False: ""Vakratunda Mahakaya"" is chanted for strength and intelligence.","True; False","False"
"Level 1","Shanti Mantra (Sahana Vavatu)","audio_recite","Recite a shloka about Universal Prayer","","Om Sahana vavatu Saha Nau Bhunaktu Saha Viiryam Karavaavahai Tejasvi Naava dhiitamastu Maa Vidvi shavahai Om Shaantih Shaantih Shaantih"
"Level 1","Aham Vaishvanaro","multiple_choice","What does ""Aham Vaishvanaro"" teach us about?","Teacher as the path to liberation; Food as sacred offering; Light dispelling darkness of ignorance; God is present as the fire that digests our food - He is ...","God is present as the fire that digests our food - He is ..."
"Level 1","Aham Vaishvanaro","multiple_choice","According to ""Aham Vaishvanaro"", how many types of food does God help us digest?","Four; Three; Five; Seven","Four"
"Level 1","Karagre Vasate","multiple_choice","""Karagre Vasate"" comes from which scripture?","Vishnu Sahasranama (Phala Shruti); Vishnu Purana; Taittiriya, Katha, Mandukya Upanishads; Bhagavad Gita (4.24)","Vishnu Purana"
"Level 1","Ganga Shloka","multiple_choice","How many sacred rivers are mentioned in ""Ganga Shloka""?","Five; Seven; Nine; Three","Seven"
"Level 1","Asato Ma Sadgamaya","multiple_choice","True or False: ""Asato Ma Sadgamaya"" is chanted prayer for guidance / meditation.","True; False","True"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","True or False: ""Buddhir Balam (Hanuman Shloka)"" is chanted beginning of study.","True; False","False"
"Level 1","Shubham Karoti","multiple_choice","What life lesson does ""Shubham Karoti"" teach?","True spirituality includes wishing well for everyone; Food is sacred and divine; Light within removes negativity; When you have God, you have everything","Light within removes negativity"
"Level 1","Devi Shloka (Sarvamangala)","multiple_choice","True or False: ""Devi Shloka (Sarvamangala)"" is chanted before bathing.","True; False","False"
"Level 1","Samudra Vasane","multiple_choice","When should we chant ""Samudra Vasane""?","Complete surrender to God; For strength and intelligence; Morning - before stepping on ground; Prayer for guidance / Meditation","Morning - before stepping on ground"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","When should we chant ""Shanti Mantra (Sahana Vavatu)""?","Beginning of any task; Bedtime; Beginning of study; Circumambulation (Pradakshina)","Beginning of study"
"Level 1","Papoham (Surrender Prayer)","multiple_choice","Which deity do we pray to in ""Papoham (Surrender Prayer)""?","Annapurna (Parvati); Rama; Krishna; Universal (Any deity)","Universal (Any deity)"
"Level 1","Aham Vaishvanaro","multiple_choice","Which of these is mentioned in ""Aham Vaishvanaro""?","digestive fire; ocean; fruit; silver","digestive fire"
"Level 1","Karagre Vasate","multiple_choice","Which of these is mentioned in ""Karagre Vasate""?","money; fingertips; flower; gold","fingertips"
"Level 1","Ganga Shloka","multiple_choice","True or False: ""Ganga Shloka"" is chanted before bathing.","True; False","True"
"Level 1","Samudra Vasane","multiple_choice","What does ""Samudra Vasane"" teach us about?","Earth wears oceans as clothes and mountains as ornaments ...; Sound as cosmic vibration; Teacher as the path to liberation; Food as sacred offering","Earth wears oceans as clothes and mountains as ornaments ..."
"Level 1","Pradakshina Shloka","multiple_choice","Which deity do we pray to in ""Pradakshina Shloka""?","Shiva; Universal; Deepa (Sacred Lamp); Saraswati","Universal"
"Level 1","Asato Ma Sadgamaya","multiple_choice","What quality is celebrated in ""Asato Ma Sadgamaya""?","Protective power; Power of light; Guiding power toward truth; Divine radiance and obstacle removal","Guiding power toward truth"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","What quality is celebrated in ""Buddhir Balam (Hanuman Shloka)""?","Peaceful and protective nature; Blessings of strength and wisdom; Multiple blessings of strength and wisdom; Guiding power toward truth","Multiple blessings of strength and wisdom"
"Level 1","Buddhir Balam (Hanuman Shloka)","multiple_choice","""Buddhir Balam (Hanuman Shloka)"" is a prayer for what?","Dispelling negativity; Starting the day with gratitude; Respecting nature; Strength and wisdom","Strength and wisdom"
"Level 1","Shanti Mantra (Sahana Vavatu)","multiple_choice","True or False: ""Shanti Mantra (Sahana Vavatu)"" is chanted morning - upon waking.","True; False","False"
"Level 1","Pradakshina Shloka","multiple_choice","True or False: ""Pradakshina Shloka"" is chanted lighting the lamp.","True; False","False"
"Level 1","Vakratunda Mahakaya","multiple_choice","When should we chant ""Vakratunda Mahakaya""?","Morning - upon waking; Before eating; Beginning of any task; Bedtime","Beginning of any task"
"Level 1","Rama Taraka Mantra","multiple_choice","Which of these facts about ""Rama Taraka Mantra"" is true?","Shiva is said to constantly chant Rama; From Chapter 15 of Bhagavad Gita; Shiva is said to constantly chant 'Rama'; One of the most universal Hindu prayers","Shiva is said to constantly chant 'Rama'"
"Level 1","Karagre Vasate","multiple_choice","What is the deeper meaning of ""Karagre Vasate""?","Power of light over darkness; Removing obstacles and achieving success; Divine presence in our hands for action; Seeking blessings from Divine Mother","Divine presence in our hands for action"
"Level 1","Ganga Shloka","multiple_choice","The rivers in ""Ganga Shloka"" are called ""Sapta Sindhus"". What does this mean?","Seven sacred rivers; Holy waters; Divine streams; Purifying rivers","Seven sacred rivers"
"Level 1","Rama Skandham","multiple_choice","What is the main message of ""Rama Skandham""?","Wishing happiness for all; Seeking blessings from Divine Mother; Complete surrender; Protection from bad dreams","Protection from bad dreams"
"Level 1","Aham Vaishvanaro","multiple_choice","What life lesson does ""Aham Vaishvanaro"" teach?","Learning happens best in harmony and cooperation; Eating is a sacred act - God helps us digest food; When you have God, you have everything; Eating is a sacred act","Eating is a sacred act - God helps us digest food"
"Level 1","Samudra Vasane","multiple_choice","Which of these facts about ""Samudra Vasane"" is true?","Also called Karadarshanam - looking at hands; One of the most universal Hindu prayers; Also called Bhumi Vandana or Kshama Prarthana (forgiveness prayer); Very popular in Maharashtra during Ganesh Chaturthi","Also called Bhumi Vandana or Kshama Prarthana (forgiveness prayer)"
"Level 1","Annapurna Shloka","multiple_choice","True or False: ""Annapurna Shloka"" is chanted before eating.","True; False","True"
"Level 2","Ganesha Stavah","multiple_choice","What is the symbolism behind ""Ganesha Stavah""?","Ganesha is not just an elephant-headed deity but the Supreme Reality (Parabra...; Light dispelling darkness of ignorance; Food as sacred offering; Sound as cosmic vibration","Ganesha is not just an elephant-headed deity but the Supreme Reality (Parabra..."
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","What is the symbolism behind ""Shanti Mantra (Bhadram Karnebhih)""?","Prays for the proper functioning of all senses and a full, healthy life in se...; Light dispelling darkness of ignorance; Rivers as purifying forces; Divine energy in human actions","Prays for the proper functioning of all senses and a full, healthy life in se..."
"Level 2","Saraswati Vandana","multiple_choice","Which of these keywords is related to ""Saraswati Vandana""?","mountains; white; gold; money","white"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","When should we chant ""Shanti Mantra (Bhadram Karnebhih)""?","Ganesha worship / Beginning of study; Beginning and end of Vedic study / Puja; Before bathing; Before study / Saraswati Puja / Vasant Panchami","Beginning and end of Vedic study / Puja"
"Level 2","Ganesha Stavah","multiple_choice","True or False: ""Ganesha Stavah"" is chanted during lakshmi puja / diwali / friday worship.","True; False","False"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","What vehicle (vahana) does Mahalakshmi ride according to the Ashtakam?","Garuda; Lion; Owl; Swan","Garuda"
"Level 2","Multiple","Matching","Match each shloka with its deity: (Mantra Pushpam)","","Vedic Universal Prayer"
"Level 2","Multiple","Matching","Match each shloka with its deity: (Mahalakshmi Ashtakam)","","Mahalakshmi"
"Level 2","Multiple","Matching","Match each shloka with its deity: (Shanti Mantra (Bhadram Karnebhih))","","Indra, Pusha, Tarkshya (Garuda), Brihaspati"
"Level 2","Multiple","Matching","Match each shloka with its deity: (Ganesha Stavah)","","Ganesha"
"Level 2","Saraswati Vandana","multiple_choice","Which three gods worship Saraswati according to the Saraswati Vandana?","Brahma, Vishnu (Achyuta), and Shiva (Shankara); Indra, Agni, and Vayu; Rama, Krishna, and Hanuman; Surya, Chandra, and Agni","Brahma, Vishnu (Achyuta), and Shiva (Shankara)"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","How many verses does ""Mahalakshmi Ashtakam"" have?","6; 7; 12; 8","8"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","When should we chant ""Mahalakshmi Ashtakam""?","Before bathing; Evening prayer; Lakshmi Puja / Diwali / Friday worship; Before eating","Lakshmi Puja / Diwali / Friday worship"
"Level 2","Multiple","Matching","Match each shloka with its source scripture: (Shanti Mantra (Bhadram Karnebhih))","","Rig Veda / Atharva Veda"
"Level 2","Multiple","Matching","Match each shloka with its source scripture: (Mahalakshmi Ashtakam)","","Padma Purana (attributed to Indra)"
"Level 2","Multiple","Matching","Match each shloka with its source scripture: (Saraswati Vandana)","","Unknown"
"Level 2","Multiple","Matching","Match each shloka with its source scripture: (Ganesha Stavah)","","Ganpati Upanishad / Ganesha Stavam by Adi Shankaracharya"
"Level 2","Mantra Pushpam","multiple_choice","In Mantra Pushpam, what is called the ""flower of water""?","The Moon (Chandrama); The Lotus; Rain; A River","The Moon (Chandrama)"
"Level 2","Saraswati Vandana","multiple_choice","What musical instrument does Saraswati hold in the Saraswati Vandana?","Veena; Flute; Mridangam; Sitar","Veena"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","True or False: ""Shanti Mantra (Bhadram Karnebhih)"" is chanted during beginning and end of vedic study / puja.","True; False","True"
"Level 2","Multiple","Matching","Match each shloka with its occasion: (Ganesha Stavah)","","Ganesha worship / Beginning of study"
"Level 2","Multiple","Matching","Match each shloka with its occasion: (Mantra Pushpam)","","End of puja / Offering of mantras to deity"
"Level 2","Multiple","Matching","Match each shloka with its occasion: (Shanti Mantra (Bhadram Karnebhih))","","Beginning and end of Vedic study / Puja"
"Level 2","Multiple","Matching","Match each shloka with its occasion: (Mahalakshmi Ashtakam)","","Lakshmi Puja / Diwali / Friday worship"
"Level 2","Mantra Pushpam","multiple_choice","Which fact about ""Mantra Pushpam"" is true?","This prayer is from the Rig Veda; This shloka is recited across India before exams and at the start of educational events; Mantra Pushpam is chanted at the end of all Vedic pujas while offering flowers — the mantras themselves become the flowers offered to God; Mantra Pushpam is chanted at the end of all Vedic pujas while offering flowers","Mantra Pushpam is chanted at the end of all Vedic pujas while offering flowers — the mantras themselves become the flowers offered to God"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","Who is ""Tarkshya"" mentioned in the Shanti Mantra?","Garuda (the divine eagle); A sage; The sun; An ancestor","Garuda (the divine eagle)"
"Level 2","Saraswati Vandana","multiple_choice","Which fact about ""Saraswati Vandana"" is true?","This is one of the most widely used shanti mantras in Vedic recitations; Ashtakam means eight verses and this is one of the most popular Lakshmi stotras; This prayer is from the Rig Veda; This shloka is recited across India before exams and at the start of educational events","This shloka is recited across India before exams and at the start of educational events"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","What is the symbolism behind ""Mahalakshmi Ashtakam""?","Divine energy in human actions; Nature as a manifestation of God; Teacher as the path to liberation; Mahalakshmi is not just the goddess of wealth — she is the Supreme Mother, th...","Mahalakshmi is not just the goddess of wealth — she is the Supreme Mother, th..."
"Level 2","Mantra Pushpam","multiple_choice","When should we chant ""Mantra Pushpam""?","End of puja / Offering of mantras to deity; Before eating; Before study / Saraswati Puja / Vasant Panchami; Before bathing","End of puja / Offering of mantras to deity"
"Level 2","Ganesha Stavah","multiple_choice","What philosophy does the Ganesha Stavah follow?","Advaita Vedanta; Dvaita Vedanta; Yoga Philosophy; Samkhya","Advaita Vedanta"
"Level 2","Saraswati Vandana","multiple_choice","""Saraswati Vandana"" is a prayer for what?","Protection from evil; Blessing food with gratitude; Honoring teachers; Seeking knowledge and removal of ignorance","Seeking knowledge and removal of ignorance"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","What does ""Vruddha-Shravah"" mean — an epithet of Indra in the Shanti Mantra?","Of great fame; Very old; Very loud; Of great strength","Of great fame"
"Level 2","Mantra Pushpam","multiple_choice","True or False: ""Mantra Pushpam"" is chanted during end of puja / offering of mantras to deity.","True; False","True"
"Level 2","Mantra Pushpam","multiple_choice","What refrain ends each section of Mantra Pushpam?","Āyatanavān bhavati (one becomes established); Om Shanti Shanti Shanti; Svaha (so be it); Namah (I bow)","Āyatanavān bhavati (one becomes established)"
"Level 2","Ganesha Stavah","multiple_choice","Which fact about ""Ganesha Stavah"" is true?","This is one of the most widely used shanti mantras in Vedic recitations; This is an Advaita Vedanta hymn — it describes Ganesha not in physical form but as the formless Supreme Reality; This is an Advaita Vedanta hymn describing Ganesha as the formless Supreme Reality; This shloka is recited across India before exams and at the start of educational events","This is an Advaita Vedanta hymn — it describes Ganesha not in physical form but as the formless Supreme Reality"
"Level 2","Saraswati Vandana","multiple_choice","True or False: ""Saraswati Vandana"" is chanted during before eating.","True; False","False"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","According to the Mahalakshmi Ashtakam's phala shruti, what happens if you read it thrice daily?","Great enemies are destroyed (mahashatru vinashanam); Great wealth arrives; All diseases are cured; You gain immortality","Great enemies are destroyed (mahashatru vinashanam)"
"Level 2","Saraswati Vandana","multiple_choice","What does ""nisḥśheṣa jāḍyāpahā"" mean in the Saraswati Vandana?","Complete remover of all ignorance and dullness; Giver of all wealth and prosperity; Destroyer of all enemies; Creator of all knowledge","Complete remover of all ignorance and dullness"
"Level 2","Ganesha Stavah","multiple_choice","What does ""ajam"" mean in Ganesha Stavah?","Unborn; Powerful; Wise; Beautiful","Unborn"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","""Mahalakshmi Ashtakam"" is a prayer for what?","Offering mantras as flowers to the deity; Seeking blessings of wealth and liberation; Blessing food with gratitude; Protection from evil","Seeking blessings of wealth and liberation"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","Which fact about ""Shanti Mantra (Bhadram Karnebhih)"" is true?","This stotra is attributed to the sage Vyasa; This is one of the most widely used shanti mantras in Vedic recitations; This is one of the most widely used shanti mantras, chanted at the beginning and end of Vedic recitations; This prayer is from the Rig Veda","This is one of the most widely used shanti mantras, chanted at the beginning and end of Vedic recitations"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","Which deity is worshipped in ""Shanti Mantra (Bhadram Karnebhih)""?","Saraswati; Rama; Indra, Pusha, Tarkshya (Garuda), Brihaspati; Mahalakshmi","Indra, Pusha, Tarkshya (Garuda), Brihaspati"
"Level 2","Mantra Pushpam","multiple_choice","""Mantra Pushpam"" comes from which scripture?","Taittiriya Aranyaka (Yajur Veda); Vishnu Sahasranama; Brihadaranyaka Upanishad; Bhagavad Gita","Taittiriya Aranyaka (Yajur Veda)"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","How many deities are invoked for ""Svasti"" (blessings) in the Shanti Mantra?","Four; Three; Five; Seven","Four"
"Level 2","Ganesha Stavah","multiple_choice","When should we chant ""Ganesha Stavah""?","Ganesha worship / Beginning of study; Before study / Saraswati Puja / Vasant Panchami; Before eating; Before bathing","Ganesha worship / Beginning of study"
"Level 2","Multiple","Matching","Match each shloka with its meaning: (Mantra Pushpam)","","Everything in nature is connected through water"
"Level 2","Multiple","Matching","Match each shloka with its meaning: (Ganesha Stavah)","","Ganesha as the formless Parabrahman"
"Level 2","Multiple","Matching","Match each shloka with its meaning: (Saraswati Vandana)","","Saraswati removes all ignorance and dullness"
"Level 2","Multiple","Matching","Match each shloka with its meaning: (Mahalakshmi Ashtakam)","","Mahalakshmi gives both worldly joy and liberation"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","Which of these keywords is related to ""Shanti Mantra (Bhadram Karnebhih)""?","ears; sky; trees; diamond","ears"
"Level 2","Ganesha Stavah","multiple_choice","How many verses does ""Ganesha Stavah"" have?","3; 12; 10; 8","3"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","""Mahalakshmi Ashtakam"" comes from which scripture?","Isha Upanishad; Padma Purana (attributed to Indra); Rig Veda / Atharva Veda; Vishnu Sahasranama","Padma Purana (attributed to Indra)"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","Which demon did Mahalakshmi terrify according to the Ashtakam?","Kolasura; Mahishasura; Ravana; Hiranyakashipu","Kolasura"
"Level 2","Mantra Pushpam","multiple_choice","Why is Mantra Pushpam called ""Mantra Pushpam"" (flower of mantras)?","The mantras themselves become flowers offered to God; It describes beautiful flowers in gardens; It is chanted while holding flowers; It was written on flower petals","The mantras themselves become flowers offered to God"
"Level 2","Ganesha Stavah","multiple_choice","""Ganesha Stavah"" is a prayer for what?","Peace and well-being through all senses; Seeking knowledge and removal of ignorance; Worshipping Ganesha as Supreme Reality; Blessing food with gratitude","Worshipping Ganesha as Supreme Reality"
"Level 2","Mahalakshmi Ashtakam","multiple_choice","True or False: ""Mahalakshmi Ashtakam"" is chanted during lakshmi puja / diwali / friday worship.","True; False","True"
"Level 2","Ganesha Stavah","multiple_choice","How does the Ganesha Stavah describe Ganesha differently from typical descriptions?","As the formless Supreme Reality (Parabrahman), not a physical deity; As a child playing with toys; As a warrior fighting demons; As a king ruling a kingdom","As the formless Supreme Reality (Parabrahman), not a physical deity"
"Level 2","Mantra Pushpam","multiple_choice","Which deity is worshipped in ""Mantra Pushpam""?","Vedic Universal Prayer; Rama; Indra, Pusha, Tarkshya, Brihaspati; Ganesha","Vedic Universal Prayer"
"Level 2","Saraswati Vandana","multiple_choice","What is the symbolism behind ""Saraswati Vandana""?","Food as sacred offering; Every aspect of Saraswati is white — representing purity of knowledge, untain...; Sound as cosmic vibration; Light dispelling darkness of ignorance","Every aspect of Saraswati is white — representing purity of knowledge, untain..."
"Level 2","Mahalakshmi Ashtakam","multiple_choice","Which fact about ""Mahalakshmi Ashtakam"" is true?","Ashtakam means 'eight verses' — this is one of the most popular Lakshmi stotras, attributed to Indra who composed it to please Lakshmi; This is one of the most widely used shanti mantras in Vedic recitations; Mantra Pushpam is chanted at the end of all Vedic pujas while offering flowers; This stotra is attributed to the sage Vyasa","Ashtakam means 'eight verses' — this is one of the most popular Lakshmi stotras, attributed to Indra who composed it to please Lakshmi"
"Level 2","Shanti Mantra (Bhadram Karnebhih)","multiple_choice","""Shanti Mantra (Bhadram Karnebhih)"" comes from which scripture?","Rig Veda / Atharva Veda; Isha Upanishad; Brihadaranyaka Upanishad; Taittiriya Aranyaka (Yajur Veda)","Rig Veda / Atharva Veda"
"Level 2","Mantra Pushpam","multiple_choice","What is the symbolism behind ""Mantra Pushpam""?","Food as sacred offering; Nature as a manifestation of God; Water is the foundation of all life — the hymn traces cosmic connections show...; Surrender as the highest devotion","Water is the foundation of all life — the hymn traces cosmic connections show..."
"Level 2","Mantra Pushpam","multiple_choice","Which of these keywords is related to ""Mantra Pushpam""?","birds; gold; water; sky","water"
"Level 2","Ganesha Stavah","multiple_choice","""Ganesha Stavah"" comes from which scripture?","Taittiriya Aranyaka (Yajur Veda); Vishnu Sahasranama; Rig Veda / Atharva Veda; Ganpati Upanishad / Ganesha Stavam by Adi Shankaracharya","Ganpati Upanishad / Ganesha Stavam by Adi Shankaracharya"
"Level 2","Saraswati Vandana","multiple_choice","When should we chant ""Saraswati Vandana""?","Ganesha worship / Beginning of study; Evening prayer; Before study / Saraswati Puja / Vasant Panchami; Lighting the lamp","Before study / Saraswati Puja / Vasant Panchami"